type,side,price,sl,tp,profit
OPEN,BUY,1.16176,1.16076,1.16376,
TRAIL_SL,,1.16117,,,-58.99999999998684
OPEN,BUY,1.16096,1.15996,1.16296,
TRAIL_SL,,1.16019,,,-76.99999999999375
OPEN,BUY,1.16254,1.16154,1.16454,
TRAIL_SL,,1.16181,,,-72.99999999998974
OPEN,BUY,1.16391,1.16291,1.16591,
TRAIL_SL,,1.16378,,,-12.999999999996348
OPEN,BUY,1.16436,1.1633600000000002,1.16636,
TRAIL_SL,,1.1642000000000001,,,-15.999999999993797
OPEN,SELL,1.16521,1.16621,1.16321,
TRAIL_SL,,1.1654799999999998,,,-26.999999999977042
OPEN,BUY,1.16538,1.1643800000000002,1.16738,
TRAIL_SL,,1.16575,,,36.999999999998145
OPEN,SELL,1.16575,1.16675,1.16375,
TRAIL_SL,,1.1658199999999999,,,-6.999999999979245
OPEN,SELL,1.16504,1.16604,1.16304,
TP,,1.16304,,,200.00000000000017
OPEN,BUY,1.16502,1.16402,1.16702,
TRAIL_SL,,1.16561,,,59.000000000009045
OPEN,SELL,1.16425,1.16525,1.16225,
TRAIL_SL,,1.16512,,,-86.99999999999264
OPEN,SELL,1.16106,1.1620599999999999,1.15906,
TRAIL_SL,,1.16132,,,-25.999999999992696
OPEN,SELL,1.15942,1.1604199999999998,1.15742,
TRAIL_SL,,1.15942,,,0.0
OPEN,SELL,1.16015,1.16115,1.15815,
TRAIL_SL,,1.16065,,,-49.99999999999449
OPEN,BUY,1.1618,1.1608,1.1638,
TRAIL_SL,,1.16101,,,-78.99999999998464
OPEN,SELL,1.16101,1.16201,1.15901,
TRAIL_SL,,1.1616499999999998,,,-63.99999999997519
OPEN,BUY,1.16254,1.16154,1.16454,
TRAIL_SL,,1.1627500000000002,,,21.000000000026553
OPEN,SELL,1.15816,1.15916,1.15616,
TP,,1.15616,,,200.00000000000017
OPEN,SELL,1.1565,1.1575,1.1545,
TRAIL_SL,,1.1569099999999999,,,-40.99999999997994
OPEN,SELL,1.15642,1.15742,1.15442,
