type,side,price,sl,tp,profit
OPEN,SELL,1.16176,1.1627599999999998,1.15976,
REVERSE,,1.16198,,,-22.0000000000109
OPEN,BUY,1.16198,1.1609800000000001,1.16398,
REVERSE,,1.16201,,,2.999999999997449
OPEN,SELL,1.16201,1.1630099999999999,1.16001,
REVERSE,,1.16177,,,24.000000000001798
OPEN,BUY,1.16177,1.16077,1.16377,
REVERSE,,1.16176,,,-1.0000000000065512
OPEN,SELL,1.16176,1.1627599999999998,1.15976,
REVERSE,,1.16189,,,-13.000000000018552
OPEN,BUY,1.16189,1.1608900000000002,1.16389,
TRAIL_SL,,1.161,,,-89.00000000000574
OPEN,BUY,1.1610800000000001,1.1600800000000002,1.1630800000000001,
REVERSE,,1.16117,,,8.999999999992347
OPEN,SELL,1.16117,1.16217,1.15917,
REVERSE,,1.1608100000000001,,,35.999999999991594
OPEN,BUY,1.1608100000000001,1.1598100000000002,1.1628100000000001,
REVERSE,,1.16096,,,14.999999999987246
OPEN,SELL,1.16096,1.1619599999999999,1.15896,
REVERSE,,1.16079,,,17.000000000000348
OPEN,BUY,1.16079,1.15979,1.16279,
REVERSE,,1.16056,,,-22.999999999995246
OPEN,SELL,1.16056,1.16156,1.15856,
REVERSE,,1.16045,,,11.00000000000545
OPEN,BUY,1.16045,1.15945,1.16245,
REVERSE,,1.16075,,,29.999999999996696
OPEN,SELL,1.16075,1.1617499999999998,1.15875,
REVERSE,,1.16098,,,-22.999999999995246
OPEN,BUY,1.16098,1.15998,1.16298,
REVERSE,,1.16139,,,41.000000000002146
OPEN,SELL,1.16139,1.1623899999999998,1.15939,
REVERSE,,1.1607,,,68.99999999998573
OPEN,BUY,1.1607,1.1597000000000002,1.1627,
TRAIL_SL,,1.1609600000000002,,,26.0000000000149
OPEN,SELL,1.16254,1.1635399999999998,1.16054,
REVERSE,,1.1611799999999999,,,136.00000000000279
OPEN,BUY,1.1611799999999999,1.16018,1.1631799999999999,
REVERSE,,1.16106,,,-11.999999999989797
OPEN,SELL,1.16106,1.1620599999999999,1.15906,
REVERSE,,1.16134,,,-28.000000000005798
OPEN,BUY,1.16134,1.1603400000000001,1.16334,
REVERSE,,1.16139,,,4.999999999988347
OPEN,SELL,1.16139,1.1623899999999998,1.15939,
TRAIL_SL,,1.1619,,,-51.000000000001044
OPEN,SELL,1.16391,1.16491,1.16191,
TRAIL_SL,,1.1642,,,-28.999999999990145
OPEN,SELL,1.16408,1.16508,1.16208,
TRAIL_SL,,1.1636,,,48.000000000003595
OPEN,BUY,1.16267,1.1616700000000002,1.16467,
