type,side,price,sl,tp,profit
OPEN,SELL,1.16181,1.16281,1.15981,
REVERSE,,1.1614,,,41.000000000002146
OPEN,BUY,1.1614,1.1604,1.1634,
TRAIL_SL,,1.16053,,,-86.99999999999264
OPEN,BUY,1.16037,1.15937,1.16237,
REVERSE,,1.16102,,,65.00000000000395
OPEN,SELL,1.16102,1.1620199999999998,1.15902,
TRAIL_SL,,1.1611699999999998,,,-14.999999999987246
OPEN,SELL,1.16254,1.1635399999999998,1.16054,
REVERSE,,1.16072,,,181.9999999999933
OPEN,BUY,1.16072,1.15972,1.16272,
REVERSE,,1.1610800000000001,,,36.0000000000138
OPEN,SELL,1.1610800000000001,1.16208,1.15908,
REVERSE,,1.16084,,,24.000000000001798
OPEN,BUY,1.16084,1.1598400000000002,1.16284,
REVERSE,,1.16175,,,90.99999999999665
OPEN,SELL,1.16175,1.16275,1.15975,
TRAIL_SL,,1.1619,,,-14.999999999987246
OPEN,SELL,1.16391,1.16491,1.16191,
TRAIL_SL,,1.1642,,,-28.999999999990145
OPEN,SELL,1.16425,1.16525,1.16225,
TRAIL_SL,,1.16386,,,39.00000000001125
OPEN,BUY,1.16232,1.1613200000000001,1.16432,
REVERSE,,1.1629,,,58.000000000002494
OPEN,SELL,1.1629,1.1639,1.1609,
REVERSE,,1.16255,,,35.00000000000725
OPEN,BUY,1.16255,1.16155,1.16455,
REVERSE,,1.16322,,,66.99999999999484
OPEN,SELL,1.16322,1.1642199999999998,1.16122,
REVERSE,,1.16287,,,34.99999999998504
OPEN,BUY,1.16287,1.1618700000000002,1.16487,
REVERSE,,1.16352,,,65.00000000000395
OPEN,SELL,1.16352,1.16452,1.16152,
TRAIL_SL,,1.1643199999999998,,,-79.99999999996899
OPEN,SELL,1.16426,1.16526,1.16226,
REVERSE,,1.1638,,,46.0000000000127
OPEN,BUY,1.1638,1.1628,1.1658,
TRAIL_SL,,1.163,,,-79.99999999999119
OPEN,BUY,1.16285,1.16185,1.16485,
REVERSE,,1.16255,,,-29.999999999996696
OPEN,SELL,1.16255,1.1635499999999999,1.16055,
REVERSE,,1.16218,,,36.999999999998145
OPEN,BUY,1.16218,1.16118,1.16418,
REVERSE,,1.16272,,,53.999999999998494
OPEN,SELL,1.16272,1.1637199999999999,1.16072,
TRAIL_SL,,1.1636,,,-87.99999999999919
OPEN,BUY,1.16372,1.1627200000000002,1.16572,
REVERSE,,1.16459,,,86.99999999999264
OPEN,SELL,1.16459,1.16559,1.16259,
REVERSE,,1.16393,,,66.00000000001049
OPEN,BUY,1.16393,1.16293,1.16593,
TRAIL_SL,,1.1633200000000001,,,-60.99999999997774
OPEN,SELL,1.16388,1.16488,1.16188,
REVERSE,,1.16365,,,22.999999999995246
OPEN,BUY,1.16365,1.1626500000000002,1.16565,
REVERSE,,1.16436,,,70.99999999999883
OPEN,SELL,1.16436,1.16536,1.16236,
TRAIL_SL,,1.1652,,,-83.9999999999952
OPEN,BUY,1.16499,1.16399,1.16699,
REVERSE,,1.16563,,,63.99999999999739
OPEN,SELL,1.16563,1.1666299999999998,1.16363,
TRAIL_SL,,1.16635,,,-72.0000000000054
OPEN,SELL,1.16641,1.1674099999999998,1.16441,
REVERSE,,1.16588,,,52.99999999999194
OPEN,BUY,1.16588,1.1648800000000001,1.16788,
REVERSE,,1.16604,,,15.999999999993797
OPEN,SELL,1.16604,1.1670399999999999,1.16404,
TRAIL_SL,,1.1659899999999999,,,5.000000000010552
OPEN,BUY,1.16521,1.1642100000000002,1.16721,
REVERSE,,1.16578,,,56.99999999999594
OPEN,SELL,1.16578,1.16678,1.16378,
TRAIL_SL,,1.16648,,,-69.9999999999923
OPEN,BUY,1.1657899999999999,1.16479,1.1677899999999999,
TRAIL_SL,,1.1650800000000001,,,-70.99999999997664
OPEN,BUY,1.16461,1.16361,1.16661,
TRAIL_SL,,1.1637300000000002,,,-87.99999999997698
OPEN,BUY,1.16377,1.16277,1.16577,
TRAIL_SL,,1.1630500000000001,,,-71.99999999998319
OPEN,BUY,1.16303,1.1620300000000001,1.16503,
REVERSE,,1.16393,,,89.99999999999008
OPEN,SELL,1.16393,1.1649299999999998,1.16193,
TRAIL_SL,,1.16471,,,-78.00000000000028
OPEN,SELL,1.16471,1.1657099999999998,1.16271,
TRAIL_SL,,1.1655699999999998,,,-85.99999999998609
OPEN,SELL,1.16568,1.16668,1.16368,
TRAIL_SL,,1.16627,,,-58.99999999998684
OPEN,SELL,1.16611,1.1671099999999999,1.16411,
TRAIL_SL,,1.16669,,,-58.000000000002494
OPEN,SELL,1.16666,1.16766,1.16466,
TRAIL_SL,,1.1662599999999999,,,40.0000000000178
OPEN,SELL,1.16681,1.1678099999999998,1.16481,
