type,side,price,sl,tp,profit
OPEN,BUY,1.16089,1.15989,1.16289,
REVERSE,,1.16088,,,-0.10000000000065512
OPEN,SELL,1.16088,1.1618799999999998,1.15888,
REVERSE,,1.1609,,,-0.20000000000131024
OPEN,BUY,1.1609,1.1599000000000002,1.1629,
REVERSE,,1.16097,,,0.700000000000145
OPEN,SELL,1.16097,1.16197,1.15897,
REVERSE,,1.16105,,,-0.7999999999985796
OPEN,BUY,1.16105,1.16005,1.16305,
REVERSE,,1.16099,,,-0.5999999999994898
OPEN,SELL,1.16099,1.1619899999999999,1.15899,
REVERSE,,1.16099,,,-0.0
OPEN,BUY,1.16099,1.15999,1.16299,
REVERSE,,1.1608100000000001,,,-1.7999999999984695
OPEN,SELL,1.1608100000000001,1.16181,1.1588100000000001,
REVERSE,,1.16079,,,0.20000000000131024
OPEN,BUY,1.16079,1.15979,1.16279,
REVERSE,,1.16077,,,-0.1999999999990898
OPEN,SELL,1.16077,1.16177,1.15877,
REVERSE,,1.16096,,,-1.8999999999991246
OPEN,BUY,1.16096,1.15996,1.16296,
REVERSE,,1.16093,,,-0.2999999999997449
OPEN,SELL,1.16093,1.16193,1.15893,
REVERSE,,1.16089,,,0.40000000000040004
OPEN,BUY,1.16089,1.15989,1.16289,
REVERSE,,1.16088,,,-0.10000000000065512
OPEN,SELL,1.16088,1.1618799999999998,1.15888,
REVERSE,,1.16094,,,-0.6000000000017103
OPEN,BUY,1.16094,1.1599400000000002,1.16294,
REVERSE,,1.16086,,,-0.8000000000008001
OPEN,SELL,1.16086,1.16186,1.15886,
REVERSE,,1.16089,,,-0.2999999999997449
OPEN,BUY,1.16089,1.15989,1.16289,
REVERSE,,1.16062,,,-2.6999999999999247
OPEN,SELL,1.16062,1.1616199999999999,1.15862,
REVERSE,,1.16083,,,-2.100000000000435
OPEN,BUY,1.16083,1.1598300000000001,1.16283,
REVERSE,,1.1609099999999999,,,0.7999999999985796
OPEN,SELL,1.1609099999999999,1.1619099999999998,1.1589099999999999,
REVERSE,,1.16097,,,-0.6000000000017103
OPEN,BUY,1.16097,1.1599700000000002,1.16297,
REVERSE,,1.16094,,,-0.2999999999997449
OPEN,SELL,1.16094,1.16194,1.15894,
REVERSE,,1.16098,,,-0.3999999999981796
OPEN,BUY,1.16098,1.15998,1.16298,
REVERSE,,1.16112,,,1.40000000000029
OPEN,SELL,1.16112,1.1621199999999998,1.15912,
REVERSE,,1.16104,,,0.7999999999985796
OPEN,BUY,1.16104,1.1600400000000002,1.16304,
REVERSE,,1.16104,,,0.0
OPEN,SELL,1.16104,1.16204,1.15904,
REVERSE,,1.16102,,,0.20000000000131024
OPEN,BUY,1.16102,1.16002,1.16302,
REVERSE,,1.1611,,,0.8000000000008001
OPEN,SELL,1.1611,1.1621,1.1591,
REVERSE,,1.1610800000000001,,,0.1999999999990898
OPEN,BUY,1.1610800000000001,1.1600800000000002,1.1630800000000001,
REVERSE,,1.1610800000000001,,,0.0
OPEN,SELL,1.1610800000000001,1.16208,1.15908,
REVERSE,,1.16113,,,-0.4999999999988347
OPEN,BUY,1.16113,1.16013,1.16313,
REVERSE,,1.16114,,,0.10000000000065512
OPEN,SELL,1.16114,1.16214,1.15914,
REVERSE,,1.16112,,,0.20000000000131024
OPEN,BUY,1.16112,1.16012,1.16312,
REVERSE,,1.16115,,,0.2999999999997449
OPEN,SELL,1.16115,1.1621499999999998,1.15915,
REVERSE,,1.16109,,,0.5999999999994898
OPEN,BUY,1.16109,1.16009,1.16309,
REVERSE,,1.16111,,,0.20000000000131024
OPEN,SELL,1.16111,1.16211,1.15911,
REVERSE,,1.16106,,,0.5000000000010552
OPEN,BUY,1.16106,1.16006,1.16306,
REVERSE,,1.16106,,,0.0
OPEN,SELL,1.16106,1.1620599999999999,1.15906,
REVERSE,,1.1610800000000001,,,-0.20000000000131024
OPEN,BUY,1.1610800000000001,1.1600800000000002,1.1630800000000001,
REVERSE,,1.16106,,,-0.20000000000131024
OPEN,SELL,1.16106,1.1620599999999999,1.15906,
REVERSE,,1.16107,,,-0.10000000000065512
OPEN,BUY,1.16107,1.1600700000000002,1.16307,
REVERSE,,1.16114,,,0.700000000000145
OPEN,SELL,1.16114,1.16214,1.15914,
REVERSE,,1.1611799999999999,,,-0.3999999999981796
OPEN,BUY,1.1611799999999999,1.16018,1.1631799999999999,
REVERSE,,1.16124,,,0.6000000000017103
OPEN,SELL,1.16124,1.16224,1.15924,
