type,side,price,sl,tp,profit
OPEN,BUY,1.16083,1.1605448209799163,1.1614003580401675,
REVERSE,,1.16083,,,-3.1735268576709195
OPEN,SELL,1.16083,1.1609113270734959,1.1606673458530081,
REVERSE,,1.16079,,,0.9510250811877494
OPEN,BUY,1.16079,1.1607899964422475,1.1607900071155048,
SL,,1.1607899964422475,,,-3.0041982221227435
OPEN,SELL,1.16075,1.1607500010145964,1.1607499979708071,
SL,,1.1607500010145964,,,-2.8099819776386004
OPEN,SELL,1.1607,1.1607000002893417,1.160699999421317,
SL,,1.1607000002893417,,,-3.1643904822988373
OPEN,SELL,1.16074,1.1607400000825143,1.160739999834972,
TP,,1.160739999834972,,,-2.8039394423708863
OPEN,SELL,1.16077,1.1607700000067107,1.1607699999865788,
TP,,1.1607699999865788,,,-2.9815735967540236
OPEN,SELL,1.16072,1.1607200000005458,1.1607199999989084,
SL,,1.1607200000005458,,,-2.9429082530548896
OPEN,SELL,1.16072,1.1607200000000444,1.1607199999999112,
SL,,1.1607200000000444,,,-2.877940711482356
OPEN,SELL,1.16073,1.1607300000000036,1.1607299999999927,
SL,,1.1607300000000036,,,-3.043100636912398
OPEN,BUY,1.16071,1.1607099999999997,1.1607100000000006,
SL,,1.1607099999999997,,,-3.1396237591802327
OPEN,SELL,1.16069,1.16069,1.1606899999999998,
SL,,1.16069,,,-2.964480250223987
OPEN,SELL,1.16049,1.16049,1.16049,
SL,,1.16049,,,-3.164046072474935
OPEN,SELL,1.1606,1.1606,1.1606,
TP,,1.1606,,,-2.8928075965237374
OPEN,SELL,1.1605,1.1605,1.1605,
SL,,1.1605,,,-2.986030194546941
OPEN,SELL,1.16045,1.16045,1.16045,
SL,,1.16045,,,-2.939959427147644
OPEN,SELL,1.1602999999999999,1.1602999999999999,1.1602999999999999,
SL,,1.1602999999999999,,,-3.055312460114721
OPEN,SELL,1.16013,1.16013,1.16013,
SL,,1.16013,,,-2.986272944161689
OPEN,SELL,1.16023,1.16023,1.16023,
SL,,1.16023,,,-3.0195733651866723
OPEN,SELL,1.16018,1.16018,1.16018,
SL,,1.16018,,,-3.07166933169779
OPEN,SELL,1.16016,1.16016,1.16016,
SL,,1.16016,,,-3.1364193128487248
OPEN,SELL,1.16019,1.16019,1.16019,
SL,,1.16019,,,-3.06642427805125
OPEN,SELL,1.16012,1.16012,1.16012,
SL,,1.16012,,,-2.8298619606042985
OPEN,SELL,1.16004,1.16004,1.16004,
SL,,1.16004,,,-3.119984665864045
OPEN,SELL,1.1601,1.1601,1.1601,
SL,,1.1601,,,-2.8768899821225
OPEN,SELL,1.16,1.16,1.16,
SL,,1.16,,,-2.8118855816767936
OPEN,SELL,1.15979,1.15979,1.15979,
SL,,1.15979,,,-2.877598590210871
OPEN,SELL,1.1598600000000001,1.1598600000000001,1.1598600000000001,
SL,,1.1598600000000001,,,-3.005069700996211
OPEN,SELL,1.15994,1.15994,1.15994,
SL,,1.15994,,,-2.930968438749834
OPEN,BUY,1.15999,1.15999,1.15999,
SL,,1.15999,,,-3.0428831803541536
OPEN,BUY,1.16013,1.16013,1.16013,
SL,,1.16013,,,-2.97875630359607
OPEN,BUY,1.16022,1.16022,1.16022,
SL,,1.16022,,,-3.1281787223839173
OPEN,BUY,1.16014,1.16014,1.16014,
SL,,1.16014,,,-2.8000562602930237
OPEN,BUY,1.16018,1.16018,1.16018,
SL,,1.16018,,,-3.063610137274482
OPEN,BUY,1.16036,1.16036,1.16036,
SL,,1.16036,,,-3.1226190588913134
OPEN,BUY,1.16033,1.16033,1.16033,
SL,,1.16033,,,-3.066663185203747
OPEN,BUY,1.16035,1.16035,1.16035,
SL,,1.16035,,,-2.901545940829356
OPEN,BUY,1.16045,1.16045,1.16045,
TP,,1.16045,,,-3.1190054628378054
OPEN,BUY,1.16064,1.16064,1.16064,
SL,,1.16064,,,-2.8199075540141285
OPEN,BUY,1.1604,1.1604,1.1604,
SL,,1.1604,,,-2.9304487576384677
OPEN,SELL,1.1604,1.1604,1.1604,
SL,,1.1604,,,-3.0673638348165353
OPEN,BUY,1.1602999999999999,1.1602999999999999,1.1602999999999999,
TP,,1.1602999999999999,,,-2.9036193206948977
OPEN,SELL,1.16045,1.16045,1.16045,
SL,,1.16045,,,-2.971572956727332
OPEN,BUY,1.16054,1.16054,1.16054,
SL,,1.16054,,,-3.0922942293648688
OPEN,BUY,1.16029,1.16029,1.16029,
SL,,1.16029,,,-3.1238012649536
OPEN,SELL,1.16028,1.16028,1.16028,
SL,,1.16028,,,-3.1683462971876515
OPEN,SELL,1.16031,1.16031,1.16031,
SL,,1.16031,,,-2.903017860662035
OPEN,SELL,1.16027,1.16027,1.16027,
SL,,1.16027,,,-2.961920274199291
OPEN,BUY,1.16044,1.16044,1.16044,
SL,,1.16044,,,-2.8462360922920134
OPEN,BUY,1.1604700000000001,1.1604700000000001,1.1604700000000001,
SL,,1.1604700000000001,,,-2.877207626126551
OPEN,BUY,1.16038,1.16038,1.16038,
SL,,1.16038,,,-2.941428404332266
OPEN,SELL,1.1604,1.1604,1.1604,
SL,,1.1604,,,-2.910334866586048
OPEN,BUY,1.16028,1.16028,1.16028,
SL,,1.16028,,,-2.8708047986847105
OPEN,SELL,1.1602000000000001,1.1602000000000001,1.1602000000000001,
SL,,1.1602000000000001,,,-3.1373781446712896
OPEN,SELL,1.1602000000000001,1.1602000000000001,1.1602000000000001,
SL,,1.1602000000000001,,,-3.056625755703765
OPEN,SELL,1.16021,1.16021,1.16021,
SL,,1.16021,,,-3.1672382340356395
OPEN,SELL,1.16008,1.16008,1.16008,
SL,,1.16008,,,-3.194185610096806
OPEN,SELL,1.16011,1.16011,1.16011,
SL,,1.16011,,,-2.8980394994940357
OPEN,BUY,1.16012,1.16012,1.16012,
SL,,1.16012,,,-3.006268947208362
OPEN,SELL,1.16012,1.16012,1.16012,
SL,,1.16012,,,-3.0785387450020334
OPEN,SELL,1.16003,1.16003,1.16003,
SL,,1.16003,,,-3.0992977889084043
OPEN,SELL,1.16001,1.16001,1.16001,
SL,,1.16001,,,-2.989985598008311
OPEN,SELL,1.15995,1.15995,1.15995,
SL,,1.15995,,,-2.947762198175444
OPEN,SELL,1.16003,1.16003,1.16003,
SL,,1.16003,,,-2.8120844524017508
OPEN,BUY,1.16009,1.16009,1.16009,
SL,,1.16009,,,-2.9566511216092723
OPEN,BUY,1.15998,1.15998,1.15998,
SL,,1.15998,,,-2.9143941838348297
OPEN,SELL,1.16005,1.16005,1.16005,
SL,,1.16005,,,-3.177078288974708
OPEN,BUY,1.1601,1.1601,1.1601,
SL,,1.1601,,,-3.056667366327332
OPEN,BUY,1.16009,1.16009,1.16009,
SL,,1.16009,,,-3.008842013964239
OPEN,SELL,1.16007,1.16007,1.16007,
TP,,1.16007,,,-3.1972553138807434
OPEN,BUY,1.16,1.16,1.16,
SL,,1.16,,,-3.16841961144503
OPEN,SELL,1.15999,1.15999,1.15999,
SL,,1.15999,,,-3.040933931053829
OPEN,SELL,1.16006,1.16006,1.16006,
SL,,1.16006,,,-2.898117033261455
OPEN,BUY,1.16009,1.16009,1.16009,
SL,,1.16009,,,-2.877541421938859
OPEN,BUY,1.16016,1.16016,1.16016,
SL,,1.16016,,,-3.0227352109732215
OPEN,BUY,1.16025,1.16025,1.16025,
SL,,1.16025,,,-3.187681764729977
OPEN,BUY,1.16013,1.16013,1.16013,
SL,,1.16013,,,-3.120264595667374
OPEN,SELL,1.15995,1.15995,1.15995,
SL,,1.15995,,,-2.9802040322955223
OPEN,SELL,1.15998,1.15998,1.15998,
TP,,1.15998,,,-3.094596888238822
OPEN,SELL,1.15997,1.15997,1.15997,
SL,,1.15997,,,-3.0742663611900376
OPEN,SELL,1.15979,1.15979,1.15979,
SL,,1.15979,,,-3.075457855106278
OPEN,SELL,1.15978,1.15978,1.15978,
SL,,1.15978,,,-2.8353233287030144
OPEN,SELL,1.15967,1.15967,1.15967,
SL,,1.15967,,,-3.14130598566559
OPEN,SELL,1.1596899999999999,1.1596899999999999,1.1596899999999999,
SL,,1.1596899999999999,,,-3.141420909278835
OPEN,SELL,1.15965,1.15965,1.15965,
SL,,1.15965,,,-2.9515409175837157
OPEN,SELL,1.15966,1.15966,1.15966,
SL,,1.15966,,,-3.066651366145194
OPEN,SELL,1.15978,1.15978,1.15978,
SL,,1.15978,,,-2.8917984720175545
OPEN,BUY,1.15972,1.15972,1.15972,
SL,,1.15972,,,-2.8373190529330343
OPEN,SELL,1.15972,1.15972,1.15972,
SL,,1.15972,,,-3.1418632525381156
OPEN,BUY,1.15981,1.15981,1.15981,
SL,,1.15981,,,-2.947342907320693
OPEN,BUY,1.1596899999999999,1.1596899999999999,1.1596899999999999,
SL,,1.1596899999999999,,,-2.94634839755125
OPEN,SELL,1.15976,1.15976,1.15976,
SL,,1.15976,,,-2.9300909961148114
OPEN,BUY,1.1596899999999999,1.1596899999999999,1.1596899999999999,
SL,,1.1596899999999999,,,-3.1427875573040294
OPEN,SELL,1.15974,1.15974,1.15974,
SL,,1.15974,,,-2.954108710434222
OPEN,BUY,1.15979,1.15979,1.15979,
TP,,1.15979,,,-3.1661011839773114
OPEN,BUY,1.15984,1.15984,1.15984,
SL,,1.15984,,,-3.04414686858253
OPEN,BUY,1.15985,1.15985,1.15985,
SL,,1.15985,,,-2.899575508696022
OPEN,BUY,1.15994,1.15994,1.15994,
