type,side,price,sl,tp,profit
OPEN,BUY,1.16147,1.1604700000000001,1.16347,
REVERSE,,1.16148,,,1.0000000000065512
OPEN,SELL,1.16148,1.16248,1.15948,
REVERSE,,1.1615199999999999,,,-3.999999999981796
OPEN,BUY,1.1615199999999999,1.16052,1.1635199999999999,
REVERSE,,1.16147,,,-4.999999999988347
OPEN,SELL,1.16147,1.16247,1.15947,
REVERSE,,1.16151,,,-4.000000000004
OPEN,BUY,1.16151,1.1605100000000002,1.16351,
REVERSE,,1.16141,,,-9.999999999998899
OPEN,SELL,1.16141,1.16241,1.15941,
REVERSE,,1.16154,,,-12.999999999996348
OPEN,BUY,1.16154,1.1605400000000001,1.16354,
REVERSE,,1.16185,,,31.000000000003247
OPEN,SELL,1.16185,1.16285,1.15985,
REVERSE,,1.16176,,,9.000000000014552
OPEN,BUY,1.16176,1.16076,1.16376,
REVERSE,,1.16189,,,13.000000000018552
OPEN,SELL,1.16189,1.16289,1.15989,
REVERSE,,1.16114,,,75.00000000000284
OPEN,BUY,1.16114,1.1601400000000002,1.16314,
REVERSE,,1.16104,,,-9.999999999998899
OPEN,SELL,1.16104,1.16204,1.15904,
REVERSE,,1.16096,,,8.000000000008
OPEN,BUY,1.16096,1.15996,1.16296,
REVERSE,,1.16089,,,-7.0000000000014495
OPEN,SELL,1.16089,1.1618899999999999,1.15889,
REVERSE,,1.16073,,,15.999999999993797
OPEN,BUY,1.16073,1.1597300000000001,1.16273,
REVERSE,,1.16065,,,-8.000000000008
OPEN,SELL,1.16065,1.1616499999999998,1.15865,
REVERSE,,1.16068,,,-2.999999999997449
OPEN,BUY,1.16068,1.15968,1.16268,
REVERSE,,1.16065,,,-2.999999999997449
OPEN,SELL,1.16065,1.1616499999999998,1.15865,
REVERSE,,1.1607,,,-5.000000000010552
OPEN,BUY,1.1607,1.1597000000000002,1.1627,
REVERSE,,1.16064,,,-6.000000000017103
OPEN,SELL,1.16064,1.1616399999999998,1.15864,
REVERSE,,1.16058,,,5.999999999994898
OPEN,BUY,1.16058,1.15958,1.16258,
REVERSE,,1.16045,,,-12.999999999996348
OPEN,SELL,1.16045,1.1614499999999999,1.15845,
REVERSE,,1.16055,,,-9.999999999998899
OPEN,BUY,1.16055,1.15955,1.16255,
REVERSE,,1.16101,,,46.0000000000127
OPEN,SELL,1.16101,1.16201,1.15901,
TRAIL_SL,,1.1611699999999998,,,-15.999999999971593
OPEN,BUY,1.16254,1.16154,1.16454,
TRAIL_SL,,1.16181,,,-72.99999999998974
OPEN,SELL,1.16193,1.1629299999999998,1.15993,
REVERSE,,1.16102,,,90.99999999999665
OPEN,BUY,1.16102,1.16002,1.16302,
REVERSE,,1.1609099999999999,,,-11.00000000000545
OPEN,SELL,1.1609099999999999,1.1619099999999998,1.1589099999999999,
REVERSE,,1.16113,,,-22.0000000000109
OPEN,BUY,1.16113,1.16013,1.16313,
REVERSE,,1.16093,,,-19.999999999997797
OPEN,SELL,1.16093,1.16193,1.15893,
REVERSE,,1.16102,,,-8.999999999992347
OPEN,BUY,1.16102,1.16002,1.16302,
